resp_uid,pair_id,kelompok,usia,lokasi,status_pernikahan,pendidikan_terakhir,anggota_keluarga_bekerja,pendapatan_numerik_B1,pendapatan_numerik_B2,pendapatan_numerik_B3,pendapatan_ordinal_B1,pendapatan_ordinal_B2,pendapatan_ordinal_B3,pendapatan_kategori_B1,pendapatan_kategori_B2,pendapatan_kategori_B3,jumlah_sumber_pendapatan_B1,jumlah_sumber_pendapatan_B2,jumlah_sumber_pendapatan_B3,punya_usaha_B1,punya_usaha_B2,punya_usaha_B3,pengeluaran_pokok_B1,pengeluaran_pokok_B2,pengeluaran_pokok_B3,belanja_makanan_B1,belanja_makanan_B2,belanja_makanan_B3,belanja_kesehatan_B1,belanja_kesehatan_B2,belanja_kesehatan_B3,belanja_pendidikan_B1,belanja_pendidikan_B2,belanja_pendidikan_B3,pscore
Intervensi_137,47,Intervensi,54,Dusun Melati,Menikah,SMP,,,363000.0,3000000.0,1,1,3,"< Rp1,2 juta","< Rp1,2 juta","Rp2,5 - <4(,8) juta",1 sumber,1 sumber,1 sumber,Tidak,Tidak,Ya,2070000.0,,1950000.0,1000000.0,,1500000.0,0.0,,0.0,70000.0,,0.0,0.4840711203404071
Kontrol_4,47,Kontrol,53,,Menikah,SMP,0.0,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.5045162852629974
Intervensi_39,48,Intervensi,53,Dusun Pringgan,Duda/Janda,SMP,,,500000.0,1000000.0,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,Tidak,Tidak,Tidak,2200000.0,,950000.0,1500000.0,,500000.0,0.0,,150000.0,0.0,,0.0,0.4045624980393766
Kontrol_69,48,Kontrol,58,,Menikah,SMP,0.0,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.4034891182858664
Intervensi_178,49,Intervensi,46,Dusun Melati,Duda/Janda,SMA,,,500000.0,1400000.0,1,1,2,"< Rp1,2 juta","< Rp1,2 juta","Rp1,2 - <2,5 juta",1 sumber,1 sumber,1 sumber,Tidak,Tidak,Tidak,1300000.0,,3900000.0,1000000.0,,3000000.0,0.0,,500000.0,0.0,,0.0,0.1739928601774856
Kontrol_161,49,Kontrol,51,,Menikah,SMA,0.0,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.1733531240715686
Intervensi_140,50,Intervensi,29,Dusun Melati,Menikah,SMA,,1000000.0,1000000.0,2000000.0,1,1,2,"< Rp1,2 juta","< Rp1,2 juta","Rp1,2 - <2,5 juta",1 sumber,1 sumber,1 sumber,Tidak,Tidak,Tidak,1300000.0,,2600000.0,1000000.0,,2000000.0,0.0,,100000.0,0.0,,0.0,0.5591253053987232
Kontrol_63,50,Kontrol,50,,Menikah,SMP,0.0,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.5654900339638902
Intervensi_171,51,Intervensi,38,Dusun Melati,Menikah,SMA,2.0,,,1600000.0,1,1,2,"< Rp1,2 juta","< Rp1,2 juta","Rp1,2 - <2,5 juta",1 sumber,1 sumber,1 sumber,Ya,Ya,Ya,2900000.0,,1600000.0,2000000.0,,600000.0,0.0,,0.0,500000.0,,300000.0,0.377867012070072
Kontrol_3,51,Kontrol,59,,Menikah,SMP,0.0,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.3839654004777159
Intervensi_73,52,Intervensi,55,Dusun Melati,Menikah,SMA,,2000000.0,2000000.0,1500000.0,2,2,2,"Rp1,2 - <2,5 juta","Rp1,2 - <2,5 juta","Rp1,2 - <2,5 juta",2 sumber,2 sumber,2 sumber,Tidak,Tidak,Tidak,2200000.0,,2800000.0,1500000.0,,1800000.0,0.0,,0.0,0.0,,0.0,0.0681483736021382
Kontrol_145,52,Kontrol,63,,Menikah,SMA,3.0,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.0728522480282526
Intervensi_43,53,Intervensi,46,Dusun Pringgan,Menikah,SMA,,,,500000.0,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,Tidak,Tidak,Tidak,720000.0,,870000.0,300000.0,,450000.0,0.0,,0.0,0.0,,0.0,0.2399354712085892
Kontrol_118,53,Kontrol,46,,Menikah,SMA,0.0,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.2399354712085892
Intervensi_181,54,Intervensi,44,Dusun Melati,Menikah,SMA,2.0,2000000.0,2000000.0,3500000.0,2,2,3,"Rp1,2 - <2,5 juta","Rp1,2 - <2,5 juta","Rp2,5 - <4(,8) juta",1 sumber,1 sumber,1 sumber,Ya,Ya,Ya,1350000.0,,2400000.0,1000000.0,,2000000.0,0.0,,0.0,0.0,,0.0,0.1524314937015762
Kontrol_16,54,Kontrol,69,,Duda/Janda,SMP,0.0,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.1550756921440932
Intervensi_127,55,Intervensi,64,Dusun Melati,Duda/Janda,SD,,500000.0,500000.0,1500000.0,1,1,2,"< Rp1,2 juta","< Rp1,2 juta","Rp1,2 - <2,5 juta",1 sumber,1 sumber,1 sumber,Tidak,Tidak,Tidak,2000000.0,,1250000.0,1500000.0,,1000000.0,100000.0,,0.0,0.0,,0.0,0.6123966978049038
Kontrol_64,55,Kontrol,51,,Menikah,SMP,0.0,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.545293263295707
Intervensi_165,56,Intervensi,36,Dusun Melati,Menikah,SMA,,,,1000000.0,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,Tidak,Tidak,Tidak,1930000.0,,1930000.0,1500000.0,,1500000.0,0.0,,0.0,100000.0,,30000.0,0.4170230569324299
Kontrol_84,56,Kontrol,36,,Menikah,SMA,0.0,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.4170230569324299
